A_or_B,trial,block_num,trial_type,corr_resp,corr_resp_left,image_name,trial_dur,new_block
null,77,4,1,0,0,stimuli/3_lower.jpg,0.5,0
null,78,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,79,4,1,0,0,stimuli/6_lower.jpg,0.5,0
null,80,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,81,4,1,0,0,stimuli/8_lower.jpg,0.5,0
null,82,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,83,4,1,0,0,stimuli/1_lower.jpg,0.5,0
null,84,4,fix,0,0,stimuli/fix.jpg,2.5,0
null,85,4,1,1,4,stimuli/1_lower.jpg,0.5,0
null,86,4,fix,1,4,stimuli/fix.jpg,2.5,0
null,87,4,1,0,0,stimuli/3_lower.jpg,0.5,0
null,88,4,fix,0,0,stimuli/fix.jpg,17,0
null,89,5,0,nan,nan,stimuli/0back_instr.jpg,3,1
null,90,5,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,91,5,0,1,4,stimuli/8.jpg,0.5,0
null,92,5,fix,1,4,stimuli/fix.jpg,2.5,0
null,93,5,0,0,0,stimuli/1.jpg,0.5,0
null,94,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,95,5,0,1,4,stimuli/8.jpg,0.5,0
null,96,5,fix,1,4,stimuli/fix.jpg,2.5,0
null,97,5,0,0,0,stimuli/3.jpg,0.5,0
null,98,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,99,5,0,0,0,stimuli/2.jpg,0.5,0
null,100,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,101,5,0,0,0,stimuli/5.jpg,0.5,0
null,102,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,103,5,0,0,0,stimuli/7.jpg,0.5,0
null,104,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,105,5,0,0,0,stimuli/4.jpg,0.5,0
null,106,5,fix,0,0,stimuli/fix.jpg,2.5,0
null,107,5,0,1,4,stimuli/8.jpg,0.5,0
null,108,5,fix,1,4,stimuli/fix.jpg,2.5,0
null,109,5,0,0,0,stimuli/6.jpg,0.5,0
null,110,5,fix,0,0,stimuli/fix.jpg,17,0
null,111,6,2,nan,nan,stimuli/2back_instr.jpg,3,1
null,112,6,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,113,6,2,0,0,stimuli/4.jpg,0.5,0
null,114,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,115,6,2,0,0,stimuli/7.jpg,0.5,0
null,116,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,117,6,2,0,0,stimuli/3.jpg,0.5,0
null,118,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,119,6,2,0,0,stimuli/5.jpg,0.5,0
null,120,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,121,6,2,1,4,stimuli/3.jpg,0.5,0
null,122,6,fix,1,4,stimuli/fix.jpg,2.5,0
null,123,6,2,1,4,stimuli/5.jpg,0.5,0
null,124,6,fix,1,4,stimuli/fix.jpg,2.5,0
null,125,6,2,0,0,stimuli/6.jpg,0.5,0
null,126,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,127,6,2,0,0,stimuli/1.jpg,0.5,0
null,128,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,129,6,2,0,0,stimuli/2.jpg,0.5,0
null,130,6,fix,0,0,stimuli/fix.jpg,2.5,0
null,131,6,2,1,4,stimuli/1.jpg,0.5,0
null,132,6,fix,1,4,stimuli/fix.jpg,19,0
null,133,7,2,nan,nan,stimuli/2back_instr.jpg,3,1
null,134,7,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,135,7,2,0,0,stimuli/2_lower.jpg,0.5,0
null,136,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,137,7,2,0,0,stimuli/8_lower.jpg,0.5,0
null,138,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,139,7,2,0,0,stimuli/5_lower.jpg,0.5,0
null,140,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,141,7,2,0,0,stimuli/4_lower.jpg,0.5,0
null,142,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,143,7,2,0,0,stimuli/6_lower.jpg,0.5,0
null,144,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,145,7,2,1,4,stimuli/4_lower.jpg,0.5,0
null,146,7,fix,1,4,stimuli/fix.jpg,2.5,0
null,147,7,2,0,0,stimuli/7_lower.jpg,0.5,0
null,148,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,149,7,2,0,0,stimuli/3_lower.jpg,0.5,0
null,150,7,fix,0,0,stimuli/fix.jpg,2.5,0
null,151,7,2,1,4,stimuli/7_lower.jpg,0.5,0
null,152,7,fix,1,4,stimuli/fix.jpg,2.5,0
null,153,7,2,1,4,stimuli/3_lower.jpg,0.5,0
null,154,7,fix,1,4,stimuli/fix.jpg,15,0
null,155,8,1,nan,nan,stimuli/1back_instr.jpg,3,1
null,156,8,fix,nan,nan,stimuli/fix.jpg,0.5,0
null,157,8,1,0,0,stimuli/6.jpg,0.5,0
null,158,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,159,8,1,1,4,stimuli/6.jpg,0.5,0
null,160,8,fix,1,4,stimuli/fix.jpg,2.5,0
null,161,8,1,0,0,stimuli/3.jpg,0.5,0
